name,lat,lng,type,region,base_lake
Ambazari Lake,21.1458,79.0882,Lake,India_Maharashtra,Ambazari Lake
Lake Tahoe,39.0968,-120.0324,Lake,USA_California,Lake Tahoe
Lake Geneva,46.45,6.5,Lake,Switzerland,Lake Geneva
Lake Como,45.998,9.2568,Lake,Italy,Lake Como
Banff Lake Louise,51.4254,-116.1773,Lake,Canada_Alberta,Banff Lake Louise
Crater Lake,42.9446,-122.109,Lake,USA_Oregon,Crater Lake
Lake Bled,46.3683,14.1146,Lake,Slovenia,Lake Bled
Plitvice Lakes,44.8654,15.582,Lake,Croatia,Plitvice Lakes
Loch Ness,57.3229,-4.4244,Lake,Scotland,Loch Ness
Lake Baikal,53.5587,108.165,Lake,Russia,Lake Baikal
Lake Titicaca,-15.5,-69.35,Lake,Bolivia_Peru,Lake Titicaca
Dead Sea,31.5,35.4,Sea,Israel_Jordan,Dead Sea
Mono Lake,37.95,-119.0167,Lake,USA_California,Mono Lake
Lake Atitlan,14.7,-91.2,Lake,Guatemala,Lake Atitlan
Lake Taupo,-38.7167,176.0833,Lake,New_Zealand,Lake Taupo
Lake Malawi,-12.0,34.5,Lake,Africa_East,Lake Malawi
Inle Lake,20.6,96.9,Lake,Myanmar,Inle Lake
Dal Lake,34.12,74.84,Lake,India_Kashmir,Dal Lake
Chilika Lake,19.7167,85.3167,Lake,India_Odisha,Chilika Lake
Wular Lake,34.37,74.6,Lake,India_Kashmir,Wular Lake
Loktak Lake,24.5,93.8,Lake,India_Manipur,Loktak Lake
Pulicat Lake,13.65,80.3,Lake,India_Tamil_Nadu,Pulicat Lake
Kolleru Lake,16.7,81.3,Lake,India_Andhra_Pradesh,Kolleru Lake
Sambhar Lake,26.9,75.1,Lake,India_Rajasthan,Sambhar Lake
Pushkar Lake,26.4897,74.5511,Lake,India_Rajasthan,Pushkar Lake
Lake Pichola,24.5714,73.6761,Lake,India_Rajasthan,Lake Pichola
Fateh Sagar Lake,24.6,73.6833,Lake,India_Rajasthan,Fateh Sagar Lake
Ulsoor Lake,12.9833,77.6167,Lake,India_Karnataka,Ulsoor Lake
Hebbal Lake,13.05,77.5833,Lake,India_Karnataka,Hebbal Lake
Bellandur Lake,12.9333,77.6833,Lake,India_Karnataka,Bellandur Lake
Ooty Lake,11.4064,76.6932,Lake,India_Tamil_Nadu,Ooty Lake
Kodaikanal Lake,10.2381,77.4892,Lake,India_Tamil_Nadu,Kodaikanal Lake
