lake,datetime,temp_c,wind_kph,wind_dir,humidity,cloud,uv,precip_mm,condition,pressure_mb,dew_point_c,feelslike_c,gust_kph,is_day,will_it_rain,will_it_snow,vis_km,estimated_water_temp_c,estimated_wave_height_m,paddle_score,skill_level,season,season_intensity,hemisphere,climate_zone,region,regional_pattern,latitude,longitude,month,day_of_year,lake_region,lake_type,base_lake_name
Lake Mead,2019-04-01 00:00,17.2,4.0,SSW,24,71,0.0,0.0,Cloudy,1018.0,-1.4,17.2,7.6,0,0,0,10.0,12.6,0.008444850628946524,3.5,Intermediate,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 01:00,16.6,3.7,SE,25,80,0.0,0.0,Cloudy,1018.0,-6.4,16.6,7.2,0,0,0,10.0,12.0,0.007690632369380869,3.5,Intermediate,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 02:00,15.9,3.5,ENE,26,90,0.0,0.0,Overcast,1018.0,-6.4,15.9,6.8,0,0,0,10.0,11.3,0.00719451687989126,3.5,Intermediate,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 03:00,15.3,3.2,N,27,100,0.0,0.0,Overcast,1018.0,-6.4,15.3,6.5,0,0,0,10.0,10.7,0.006461003207477179,3.5,Intermediate,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 04:00,14.1,3.6,N,26,69,0.0,0.0,Cloudy,1018.0,-6.4,14.8,7.2,0,0,0,10.0,9.5,0.007441885497344448,3.0,Advanced,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 05:00,14.1,4.0,N,25,38,0.0,0.0,Partly cloudy,1018.0,-2.8,14.7,7.9,0,0,0,10.0,9.5,0.008444850628946524,3.0,Advanced,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 06:00,13.5,4.3,N,24,7,0.0,0.0,Clear,1019.0,-6.5,13.9,8.6,0,0,0,10.0,8.9,0.009210477147626728,3.0,Advanced,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 07:00,14.8,4.7,N,23,10,0.0,0.0,Sunny,1018.0,-6.4,15.3,9.0,1,0,0,10.0,10.2,0.010247959777811521,3.0,Advanced,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 08:00,16.1,5.0,N,21,13,0.1,0.0,Sunny,1018.0,-6.3,16.1,9.4,1,0,0,10.0,11.5,0.01103783729168972,4.0,Intermediate,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 09:00,17.4,5.4,N,19,16,0.8,0.0,Sunny,1017.0,-6.2,17.4,9.7,1,0,0,10.0,12.8,0.012105772119533401,4.0,Intermediate,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 10:00,18.1,5.6,NE,18,19,2.8,0.0,Sunny,1017.0,-6.8,18.1,9.7,1,0,0,10.0,13.5,0.012645779795837402,4.5,Beginner,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 11:00,19.7,5.8,ENE,17,21,5.4,0.0,Sunny,1016.0,-1.7,19.7,13.7,1,0,0,10.0,15.1,0.013189659222014028,4.5,Beginner,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 12:00,20.7,5.9,ESE,15,23,7.3,0.0,Sunny,1015.0,-8.0,20.7,14.9,1,0,0,10.0,16.1,0.013463017075707875,5.0,Beginner,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 13:00,22.3,6.1,SE,14,25,7.7,0.0,Partly cloudy,1014.0,-3.3,22.2,14.4,1,0,0,10.0,17.7,0.014012505132255281,5.0,Beginner,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 14:00,22.4,6.3,S,13,27,6.4,0.0,Partly cloudy,1013.0,-9.2,22.3,13.9,1,0,0,10.0,17.8,0.014565608813867195,5.0,Beginner,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 15:00,24.1,6.5,SSW,11,30,3.9,0.0,Partly cloudy,1013.0,-9.8,23.2,13.7,1,0,0,10.0,19.5,0.015122235971450368,5.0,Beginner,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 16:00,24.5,7.2,SSW,12,31,1.5,0.0,Partly cloudy,1013.0,-8.7,23.5,14.5,1,0,0,10.0,19.9,0.017096963257751716,5.0,Beginner,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 17:00,23.7,7.9,SSW,13,33,0.2,0.0,Partly cloudy,1012.0,-7.5,23.0,15.8,1,0,0,10.0,19.1,0.019110519461981165,5.0,Beginner,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 18:00,24.0,8.6,S,13,35,0.0,0.0,Partly cloudy,1012.0,-6.4,23.1,18.2,1,0,0,10.0,19.4,0.02116011989643321,5.0,Beginner,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
Lake Mead,2019-04-01 19:00,23.3,8.9,S,14,31,0.0,0.0,Partly cloudy,1012.0,-6.3,22.8,18.9,0,0,0,10.0,18.7,0.022048953960433534,5.0,Beginner,spring,mid,northern,subtropical,North_America_South,varied,36.1,-114.4,4,91,USA_Nevada,Reservoir,Lake Mead
