lake,datetime,temp_c,wind_kph,wind_dir,humidity,cloud,uv,precip_mm,condition,pressure_mb,dew_point_c,feelslike_c,gust_kph,is_day,will_it_rain,will_it_snow,vis_km,estimated_water_temp_c,estimated_wave_height_m,paddle_score,skill_level,season,season_intensity,hemisphere,climate_zone,region,regional_pattern,latitude,longitude,month,day_of_year,lake_region,lake_type,base_lake_name
Lake Michigan,2023-03-01 00:00,0.1,6.8,SSE,89,100,0.0,0.0,Overcast,1012.0,-1.6,-2.2,11.9,0,0,0,10.0,-6.2,0.015963594147242223,2.0,Expert Only,spring,early,northern,temperate,North_America_South,varied,43.5,-87.0,3,60,USA_Great_Lakes,Lake,Lake Michigan
Lake Michigan,2023-03-01 01:00,0.0,9.7,SE,88,100,0.0,0.0,Overcast,1011.0,-1.8,-3.2,17.9,0,0,0,10.0,-6.3,0.02444815350636487,2.0,Expert Only,spring,early,northern,temperate,North_America_South,varied,43.5,-87.0,3,60,USA_Great_Lakes,Lake,Lake Michigan
Lake Michigan,2023-03-01 02:00,-0.0,12.6,ESE,87,100,0.0,0.0,Overcast,1011.0,-2.0,-4.0,23.9,0,0,0,10.0,-6.3,0.03346298176803912,2.0,Expert Only,spring,early,northern,temperate,North_America_South,varied,43.5,-87.0,3,60,USA_Great_Lakes,Lake,Lake Michigan
Lake Michigan,2023-03-01 03:00,-0.1,15.5,E,86,100,0.0,0.0,Overcast,1010.0,-2.2,-4.6,29.9,0,0,0,10.0,-6.4,0.042905999213175304,1.5,Expert Only,spring,early,northern,temperate,North_America_South,varied,43.5,-87.0,3,60,USA_Great_Lakes,Lake,Lake Michigan
Lake Michigan,2023-03-01 04:00,-0.1,16.6,ESE,88,98,0.0,0.0,Overcast,1010.0,-2.0,-4.9,30.1,0,0,0,7.0,-6.4,0.046585384923119436,1.5,Expert Only,spring,early,northern,temperate,North_America_South,varied,43.5,-87.0,3,60,USA_Great_Lakes,Lake,Lake Michigan
Lake Michigan,2023-03-01 05:00,-0.2,17.6,ESE,89,96,0.0,0.0,Overcast,1009.0,-1.7,-5.1,30.4,0,0,0,4.0,-6.6,0.04997297262095148,1.5,Expert Only,spring,early,northern,temperate,North_America_South,varied,43.5,-87.0,3,60,USA_Great_Lakes,Lake,Lake Michigan
Lake Michigan,2023-03-01 06:00,-0.2,18.7,ESE,91,94,0.0,0.0,Overcast,1009.0,-1.5,-5.3,30.6,0,0,0,1.0,-6.6,0.05374399059525483,1.5,Expert Only,spring,early,northern,temperate,North_America_South,varied,43.5,-87.0,3,60,USA_Great_Lakes,Lake,Lake Michigan
Lake Michigan,2023-03-01 07:00,0.1,19.4,ESE,93,96,0.0,0.0,Overcast,1009.0,-0.9,-5.0,31.0,0,0,0,3.7,-6.2,0.056167107430952636,1.5,Expert Only,spring,early,northern,temperate,North_America_South,varied,43.5,-87.0,3,60,USA_Great_Lakes,Lake,Lake Michigan
Lake Michigan,2023-03-01 08:00,0.5,20.2,ESE,94,98,0.0,0.0,Overcast,1008.0,-0.4,-4.7,31.3,1,0,0,6.3,-5.8,0.05895784839153526,1.0,Expert Only,spring,early,northern,temperate,North_America_South,varied,43.5,-87.0,3,60,USA_Great_Lakes,Lake,Lake Michigan
Lake Michigan,2023-03-01 09:00,0.8,16.3,ESE,96,100,0.0,0.0,Overcast,1008.0,0.2,-3.7,31.7,1,0,0,9.0,-5.6,0.04557693415545506,1.5,Expert Only,spring,early,northern,temperate,North_America_South,varied,43.5,-87.0,3,60,USA_Great_Lakes,Lake,Lake Michigan
Lake Michigan,2023-03-01 10:00,2.3,19.1,ESE,96,100,0.0,0.0,Overcast,1007.0,0.5,-2.3,28.3,1,0,0,9.3,-4.1,0.05512644967105449,1.5,Expert Only,spring,early,northern,temperate,North_America_South,varied,43.5,-87.0,3,60,USA_Great_Lakes,Lake,Lake Michigan
Lake Michigan,2023-03-01 11:00,2.9,17.3,ESE,97,99,0.1,0.0,Overcast,1008.0,0.5,-1.3,25.0,1,0,0,9.7,-3.5,0.048952548504847065,1.5,Expert Only,spring,early,northern,temperate,North_America_South,varied,43.5,-87.0,3,60,USA_Great_Lakes,Lake,Lake Michigan
Lake Michigan,2023-03-01 12:00,3.2,15.5,ESE,98,99,0.2,0.0,Overcast,1007.0,0.8,-0.6,21.6,1,0,0,10.0,-3.1,0.042905999213175304,1.5,Expert Only,spring,early,northern,temperate,North_America_South,varied,43.5,-87.0,3,60,USA_Great_Lakes,Lake,Lake Michigan
Lake Michigan,2023-03-01 13:00,4.5,10.5,SE,98,93,0.3,0.0,Overcast,1006.0,1.8,2.0,20.5,1,0,0,10.0,-1.9,0.026887296818599922,2.0,Expert Only,spring,early,northern,temperate,North_America_South,varied,43.5,-87.0,3,60,USA_Great_Lakes,Lake,Lake Michigan
