lake,datetime,temp_c,wind_kph,wind_dir,humidity,cloud,uv,precip_mm,condition,pressure_mb,dew_point_c,feelslike_c,gust_kph,is_day,will_it_rain,will_it_snow,vis_km,estimated_water_temp_c,estimated_wave_height_m,paddle_score,skill_level,season,season_intensity,hemisphere,climate_zone,region,regional_pattern,latitude,longitude,month,day_of_year,lake_region,lake_type,base_lake_name
Lake Minnewanka,2024-07-01 00:00,9.8,8.3,WSW,91,88,0.0,0.0,Overcast,1012.0,8.2,8.7,18.5,0,0,0,10.0,5.7,0.0202774665430942,3.0,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 01:00,9.7,7.9,WSW,90,88,0.0,0.1,Patchy rain possible,1012.0,8.3,8.6,19.5,0,1,0,10.0,5.6,0.019110519461981165,2.5,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 02:00,9.0,8.3,WSW,91,88,0.0,0.3,Patchy rain possible,1012.0,8.1,7.8,20.3,0,1,0,10.0,4.9,0.0202774665430942,2.5,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 03:00,8.6,8.3,WSW,95,59,0.0,0.0,Partly cloudy,1013.0,7.7,7.2,20.4,0,0,0,2.0,4.5,0.0202774665430942,3.0,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 04:00,8.4,7.9,WSW,96,67,0.0,0.0,Cloudy,1013.0,7.4,7.1,20.8,0,0,0,2.0,4.3,0.019110519461981165,3.0,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 05:00,8.5,6.8,WSW,95,64,0.0,0.3,Patchy rain possible,1013.0,7.5,7.6,20.1,0,1,0,2.0,4.4,0.015963594147242223,2.5,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 06:00,9.1,5.8,WSW,94,66,0.0,0.3,Patchy rain possible,1013.0,7.7,8.6,19.0,1,1,0,5.0,5.0,0.013189659222014028,2.5,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 07:00,9.5,4.7,W,90,100,0.0,0.7,Moderate rain at times,1013.0,8.2,9.3,17.3,1,1,0,9.0,5.4,0.010247959777811521,2.0,Expert Only,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 08:00,8.9,5.0,W,93,67,0.1,0.5,Moderate rain at times,1013.0,8.7,8.5,17.3,1,1,0,9.0,4.8,0.01103783729168972,2.5,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 09:00,10.0,4.7,W,90,58,0.7,0.1,Patchy rain possible,1013.0,8.8,9.8,14.6,1,1,0,5.0,5.9,0.010247959777811521,2.0,Expert Only,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 10:00,11.1,4.7,W,88,56,2.1,0.3,Patchy rain possible,1013.0,8.2,11.1,16.7,1,1,0,10.0,7.0,0.010247959777811521,2.0,Expert Only,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 11:00,11.6,4.0,W,85,96,0.9,0.4,Patchy rain possible,1013.0,8.3,11.9,13.2,1,1,0,10.0,7.5,0.008444850628946524,2.0,Expert Only,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 12:00,11.7,3.2,WNW,81,66,4.5,0.4,Patchy rain possible,1013.0,8.4,12.2,12.4,1,1,0,10.0,7.6,0.006461003207477179,2.0,Expert Only,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 13:00,11.6,4.0,NNW,81,82,2.9,1.8,Moderate or heavy rain shower,1013.0,8.6,11.8,13.0,1,1,0,2.0,7.5,0.008444850628946524,1.5,Expert Only,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 14:00,11.4,5.0,N,83,83,2.8,5.5,Moderate or heavy rain shower,1013.0,7.6,11.3,17.0,1,1,0,10.0,7.3,0.01103783729168972,1.5,Expert Only,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 15:00,12.1,4.0,N,82,67,5.0,0.1,Patchy rain possible,1012.0,7.0,12.4,16.2,1,1,0,10.0,8.0,0.008444850628946524,2.5,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 16:00,13.5,1.4,WSW,76,74,2.9,0.0,Cloudy,1012.0,6.0,13.5,13.4,1,0,0,9.0,9.4,0.0023959272416241542,3.0,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 17:00,13.9,4.0,WSW,64,81,1.3,0.0,Cloudy,1011.0,5.8,14.5,14.4,1,0,0,9.0,9.8,0.008444850628946524,3.0,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 18:00,12.9,2.5,WSW,59,76,0.7,0.4,Patchy rain possible,1010.0,7.4,12.9,15.3,1,1,0,10.0,8.8,0.0048044977359257245,2.5,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 19:00,14.0,1.8,WSW,61,77,0.2,0.0,Cloudy,1010.0,4.9,14.0,14.0,1,0,0,10.0,9.9,0.0032392688058492333,3.0,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 20:00,14.0,2.2,SW,71,89,0.0,0.0,Overcast,1010.0,7.6,14.0,11.9,1,0,0,10.0,9.9,0.004121233293636421,3.0,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 21:00,13.0,2.9,WSW,80,87,0.0,0.0,Overcast,1011.0,10.6,13.0,4.1,1,0,0,10.0,8.9,0.005741132632704116,3.0,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 22:00,11.7,4.0,WSW,86,81,0.0,0.0,Cloudy,1012.0,9.0,12.0,10.1,0,0,0,10.0,7.6,0.008444850628946524,2.5,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-01 23:00,11.9,5.0,WSW,88,83,0.0,0.0,Cloudy,1012.0,8.1,11.9,11.9,0,0,0,10.0,7.8,0.01103783729168972,3.0,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,183,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 00:00,9.3,5.8,WSW,88,72,0.0,0.0,Cloudy,1013.0,7.3,8.7,9.1,0,0,0,10.0,5.2,0.013189659222014028,3.0,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 01:00,8.9,5.0,WSW,88,74,0.0,0.2,Patchy rain possible,1013.0,6.9,8.5,12.5,0,1,0,10.0,4.8,0.01103783729168972,2.5,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 02:00,8.5,4.3,WSW,88,71,0.0,0.1,Patchy rain possible,1013.0,6.6,8.3,13.9,0,1,0,10.0,4.4,0.009210477147626728,2.0,Expert Only,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 03:00,8.4,3.2,WSW,88,86,0.0,0.1,Patchy rain possible,1013.0,6.3,8.6,13.0,0,1,0,10.0,4.3,0.006461003207477179,2.0,Expert Only,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 04:00,8.5,2.5,WSW,88,73,0.0,0.0,Cloudy,1013.0,6.3,8.5,12.3,0,0,0,10.0,4.4,0.0048044977359257245,2.5,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 05:00,8.6,2.2,SW,89,52,0.0,0.1,Patchy rain possible,1013.0,6.9,8.6,12.3,0,1,0,10.0,4.5,0.004121233293636421,2.0,Expert Only,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 06:00,9.1,2.5,SW,90,66,0.0,0.0,Cloudy,1013.0,7.2,9.1,12.2,1,0,0,10.0,5.0,0.0048044977359257245,2.5,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 07:00,10.0,3.2,WSW,90,81,0.0,0.0,Cloudy,1013.0,8.0,10.4,15.6,1,0,0,10.0,5.9,0.006461003207477179,2.5,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 08:00,10.1,2.5,WSW,85,79,0.1,0.0,Cloudy,1013.0,8.7,10.1,15.9,1,0,0,9.0,6.0,0.0048044977359257245,2.5,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 09:00,11.1,5.3,W,80,84,0.3,0.0,Cloudy,1012.0,5.3,11.0,17.6,1,0,0,10.0,7.0,0.011837255622108288,3.0,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 10:00,12.0,7.0,ESE,74,73,1.2,0.0,Cloudy,1011.0,4.4,11.6,20.9,1,0,0,10.0,7.9,0.016528659409858985,3.5,Intermediate,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 11:00,12.8,7.6,S,69,71,2.5,0.1,Patchy rain possible,1011.0,4.2,12.3,24.0,1,1,0,10.0,8.7,0.018243001481156446,3.0,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 12:00,13.0,8.3,SSW,67,82,2.3,0.0,Cloudy,1011.0,4.7,12.5,25.9,1,0,0,10.0,8.9,0.0202774665430942,3.5,Intermediate,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 13:00,13.9,7.4,SSW,64,73,4.3,0.0,Cloudy,1010.0,5.4,13.7,25.7,1,0,0,10.0,9.8,0.017668433503189508,3.5,Intermediate,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 14:00,13.9,9.0,SSW,60,87,2.3,0.8,Moderate rain at times,1010.0,5.4,13.4,26.2,1,1,0,10.0,9.8,0.022346576264381177,3.0,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 15:00,14.2,7.3,SW,59,84,2.4,0.4,Patchy rain possible,1009.0,5.3,14.1,26.7,1,1,0,10.0,10.1,0.017382306951720806,3.0,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 16:00,14.0,8.9,WSW,57,78,2.4,0.9,Moderate rain at times,1010.0,4.8,13.5,26.2,1,1,0,10.0,9.9,0.022048953960433534,3.0,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 17:00,13.5,7.2,NW,56,74,1.7,0.1,Patchy rain possible,1010.0,4.0,13.2,25.5,1,1,0,10.0,9.4,0.017096963257751716,3.0,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 18:00,13.4,2.9,NNE,57,71,0.9,0.3,Patchy rain possible,1010.0,4.4,13.4,24.9,1,1,0,10.0,9.3,0.005741132632704116,2.5,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 19:00,12.7,4.3,NE,62,74,0.2,0.1,Patchy rain possible,1011.0,3.7,13.0,23.0,1,1,0,10.0,8.6,0.009210477147626728,2.5,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 20:00,12.4,5.0,ENE,73,76,0.0,0.3,Patchy rain possible,1012.0,5.0,12.4,19.3,1,1,0,10.0,8.3,0.01103783729168972,3.0,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 21:00,11.6,5.8,ENE,82,77,0.0,0.0,Cloudy,1013.0,8.8,11.3,14.7,1,0,0,10.0,7.5,0.013189659222014028,3.0,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 22:00,10.2,5.4,ENE,88,52,0.0,2.1,Moderate or heavy rain shower,1015.0,8.5,9.8,9.6,0,1,0,10.0,6.1,0.012105772119533401,2.0,Expert Only,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-02 23:00,10.2,4.0,ENE,93,87,0.0,1.5,Moderate or heavy rain shower,1016.0,8.7,10.3,15.1,0,1,0,10.0,6.1,0.008444850628946524,1.5,Expert Only,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,184,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-03 00:00,10.0,2.2,NNE,93,100,0.0,0.0,Overcast,1016.0,9.0,10.0,15.0,0,0,0,10.0,5.9,0.004121233293636421,2.5,Advanced,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,185,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-03 01:00,9.7,1.4,NNE,94,78,0.0,0.5,Moderate rain at times,1016.0,9.0,9.7,9.7,0,1,0,6.0,5.6,0.0023959272416241542,2.0,Expert Only,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,185,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-03 02:00,9.2,0.7,W,94,76,0.0,1.6,Moderate or heavy rain shower,1016.0,8.4,9.2,8.7,0,1,0,9.0,5.1,0.0010428879049062183,1.5,Expert Only,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,185,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-03 03:00,8.7,1.4,WSW,94,74,0.0,1.5,Moderate or heavy rain shower,1016.0,7.9,8.7,10.4,0,1,0,8.0,4.6,0.0023959272416241542,1.5,Expert Only,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,185,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2024-07-03 04:00,8.4,2.5,WSW,95,75,0.0,1.1,Heavy rain at times,1016.0,7.4,8.4,11.1,0,1,0,9.0,4.3,0.0048044977359257245,1.5,Expert Only,summer,mid,northern,temperate,North_America_North,continental,51.25,-115.35,7,185,Canada_Alberta,Lake,Lake Minnewanka
