lake,datetime,temp_c,wind_kph,wind_dir,humidity,cloud,uv,precip_mm,condition,pressure_mb,dew_point_c,feelslike_c,gust_kph,is_day,will_it_rain,will_it_snow,vis_km,estimated_water_temp_c,estimated_wave_height_m,paddle_score,skill_level,season,season_intensity,hemisphere,climate_zone,region,regional_pattern,latitude,longitude,month,day_of_year,lake_region,lake_type,base_lake_name
Lake Murray,2020-01-01 00:00,7.3,19.8,W,63,0,0.0,0.0,Clear,1015.0,0.0,3.9,38.0,0,0,0,10.0,0.9,0.05755965881222071,1.5,Expert Only,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
Lake Murray,2020-01-01 01:00,6.8,18.5,W,64,0,0.0,0.0,Clear,1015.0,-0.1,3.5,36.7,0,0,0,10.0,0.4,0.05305496797714262,1.5,Expert Only,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
Lake Murray,2020-01-01 02:00,6.4,17.2,W,65,0,0.0,0.0,Clear,1015.0,-0.7,3.2,33.7,0,0,0,10.0,-0.0,0.04861318983314572,1.5,Expert Only,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
Lake Murray,2020-01-01 03:00,6.0,15.8,W,67,0,0.0,0.0,Clear,1016.0,-0.9,2.9,31.7,0,0,0,10.0,-0.4,0.043904444538233174,1.5,Expert Only,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
Lake Murray,2020-01-01 04:00,5.6,14.4,W,68,2,0.0,0.0,Clear,1016.0,-1.0,2.5,29.0,0,0,0,10.0,-0.8,0.03927850713924829,2.0,Expert Only,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
Lake Murray,2020-01-01 05:00,5.1,13.0,W,70,3,0.0,0.0,Clear,1016.0,-1.2,2.1,26.6,0,0,0,10.0,-1.3,0.03474177516856405,2.0,Expert Only,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
Lake Murray,2020-01-01 06:00,4.6,11.5,W,72,5,0.0,0.0,Clear,1016.0,-1.3,1.8,20.9,0,0,0,10.0,-1.8,0.029988682835972454,2.0,Expert Only,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
Lake Murray,2020-01-01 07:00,4.8,11.0,W,71,9,0.0,0.0,Clear,1016.0,-0.6,2.2,19.3,0,0,0,10.0,-1.6,0.02843093908515833,2.0,Expert Only,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
Lake Murray,2020-01-01 08:00,4.6,10.6,W,70,12,0.0,0.0,Sunny,1017.0,-0.3,2.1,17.8,1,0,0,10.0,-1.8,0.027194872121590392,2.0,Expert Only,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
Lake Murray,2020-01-01 09:00,5.1,10.1,W,70,16,0.0,0.0,Sunny,1017.0,-0.4,2.7,24.6,1,0,0,10.0,-1.3,0.025662894063989257,2.0,Expert Only,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
Lake Murray,2020-01-01 10:00,6.6,10.2,W,64,17,0.2,0.0,Sunny,1018.0,-0.3,4.5,26.7,1,0,0,10.0,0.2,0.025968100829311485,2.0,Expert Only,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
Lake Murray,2020-01-01 11:00,8.0,10.3,WNW,59,18,0.6,0.0,Sunny,1018.0,-0.1,6.2,26.6,1,0,0,10.0,1.6,0.026273906635011023,3.0,Advanced,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
Lake Murray,2020-01-01 12:00,9.4,10.4,WNW,54,19,1.0,0.0,Sunny,1018.0,0.0,7.8,25.6,1,0,0,10.0,3.0,0.026580306823679734,3.0,Advanced,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
Lake Murray,2020-01-01 13:00,10.4,10.6,W,51,20,1.0,0.0,Sunny,1017.0,0.2,9.1,24.2,1,0,0,10.0,4.0,0.027194872121590392,3.0,Advanced,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
Lake Murray,2020-01-01 14:00,11.5,10.7,W,48,21,0.6,0.0,Sunny,1017.0,0.5,10.3,23.6,1,0,0,10.0,5.1,0.027503028310929822,3.0,Advanced,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
Lake Murray,2020-01-01 15:00,11.5,10.8,W,45,22,0.2,0.0,Sunny,1017.0,-0.1,10.3,20.2,1,0,0,10.0,5.1,0.027811761039353965,3.0,Advanced,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
Lake Murray,2020-01-01 16:00,11.1,10.3,W,47,23,0.0,0.0,Sunny,1016.0,0.2,9.9,20.2,1,0,0,10.0,4.7,0.026273906635011023,3.0,Advanced,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
Lake Murray,2020-01-01 17:00,10.7,9.8,W,50,25,0.0,0.0,Partly cloudy,1016.0,0.6,9.5,18.7,1,0,0,10.0,4.3,0.024750915842255347,3.0,Advanced,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
Lake Murray,2020-01-01 18:00,9.2,9.4,W,53,27,0.0,0.0,Partly cloudy,1016.0,2.3,7.8,14.0,0,0,0,10.0,2.8,0.02354362907769575,3.0,Advanced,winter,mid,northern,subtropical,North_America_South,varied,34.1,-81.2,1,1,USA_South_Carolina,Lake,Lake Murray
