lake,datetime,temp_c,wind_kph,wind_dir,humidity,cloud,uv,precip_mm,condition,pressure_mb,dew_point_c,feelslike_c,gust_kph,is_day,will_it_rain,will_it_snow,vis_km,estimated_water_temp_c,estimated_wave_height_m,paddle_score,skill_level,season,season_intensity,hemisphere,climate_zone,region,regional_pattern,latitude,longitude,month,day_of_year,lake_region,lake_type,base_lake_name
Washoe Lake,2019-05-01 00:00,3.1,4.0,SSW,74,7,0.0,0.0,Clear,1018.0,-8.8,2.4,7.6,0,0,0,10.0,-0.8,0.008444850628946524,1.5,Expert Only,spring,late,northern,subtropical,North_America_South,varied,39.2759212,-119.7948106,5,121,USA_California,Lake,Lake Tahoe
Washoe Lake,2019-05-01 01:00,2.7,3.4,SSW,75,7,0.0,0.0,Clear,1019.0,-8.9,2.3,6.6,0,0,0,10.0,-1.2,0.006948557938556215,1.5,Expert Only,spring,late,northern,subtropical,North_America_South,varied,39.2759212,-119.7948106,5,121,USA_California,Lake,Lake Tahoe
Washoe Lake,2019-05-01 02:00,2.2,2.8,SSW,76,7,0.0,0.0,Clear,1019.0,-8.9,2.2,9.3,0,0,0,10.0,-1.7,0.0055043953622924986,1.5,Expert Only,spring,late,northern,subtropical,North_America_South,varied,39.2759212,-119.7948106,5,121,USA_California,Lake,Lake Tahoe
Washoe Lake,2019-05-01 03:00,1.6,2.2,SW,78,8,0.0,0.0,Clear,1019.0,-9.0,1.6,4.7,0,0,0,10.0,-2.3,0.004121233293636421,1.5,Expert Only,spring,late,northern,subtropical,North_America_South,varied,39.2759212,-119.7948106,5,121,USA_California,Lake,Lake Tahoe
Washoe Lake,2019-05-01 04:00,2.3,2.0,SSW,72,6,0.0,0.0,Clear,1019.0,-7.0,2.3,4.0,0,0,0,10.0,-1.6,0.003675834735990512,1.5,Expert Only,spring,late,northern,subtropical,North_America_South,varied,39.2759212,-119.7948106,5,121,USA_California,Lake,Lake Tahoe
Washoe Lake,2019-05-01 05:00,2.4,1.9,SSW,66,5,0.0,0.0,Clear,1019.0,-5.0,2.4,3.2,0,0,0,10.0,-1.5,0.0034564024459828196,1.5,Expert Only,spring,late,northern,subtropical,North_America_South,varied,39.2759212,-119.7948106,5,121,USA_California,Lake,Lake Tahoe
Washoe Lake,2019-05-01 06:00,4.0,1.8,SSW,60,4,0.0,0.0,Clear,1019.0,-3.0,4.0,6.3,0,0,0,10.0,0.1,0.0032392688058492333,1.5,Expert Only,spring,late,northern,subtropical,North_America_South,varied,39.2759212,-119.7948106,5,121,USA_California,Lake,Lake Tahoe
Washoe Lake,2019-05-01 07:00,5.6,2.8,SSE,52,4,0.0,0.0,Sunny,1019.0,-3.9,5.6,8.0,1,0,0,10.0,1.7,0.0055043953622924986,1.5,Expert Only,spring,late,northern,subtropical,North_America_South,varied,39.2759212,-119.7948106,5,121,USA_California,Lake,Lake Tahoe
Washoe Lake,2019-05-01 08:00,7.3,3.7,SE,44,4,0.2,0.0,Sunny,1018.0,-4.7,7.2,13.7,1,0,0,10.0,3.4,0.007690632369380869,1.5,Expert Only,spring,late,northern,subtropical,North_America_South,varied,39.2759212,-119.7948106,5,121,USA_California,Lake,Lake Tahoe
Washoe Lake,2019-05-01 09:00,8.9,4.7,ESE,35,5,1.4,0.0,Sunny,1018.0,-5.6,8.6,17.5,1,0,0,10.0,5.0,0.010247959777811521,2.5,Advanced,spring,late,northern,subtropical,North_America_South,varied,39.2759212,-119.7948106,5,121,USA_California,Lake,Lake Tahoe
Washoe Lake,2019-05-01 10:00,10.0,5.0,ESE,35,5,3.9,0.0,Sunny,1017.0,-4.8,9.8,18.2,1,0,0,10.0,6.1,0.01103783729168972,3.0,Advanced,spring,late,northern,subtropical,North_America_South,varied,39.2759212,-119.7948106,5,121,USA_California,Lake,Lake Tahoe
Washoe Lake,2019-05-01 11:00,11.2,5.4,ESE,34,5,7.0,0.0,Sunny,1017.0,-4.1,11.0,17.9,1,0,0,10.0,7.3,0.012105772119533401,3.0,Advanced,spring,late,northern,subtropical,North_America_South,varied,39.2759212,-119.7948106,5,121,USA_California,Lake,Lake Tahoe
Washoe Lake,2019-05-01 12:00,12.3,5.8,SE,33,5,9.5,0.0,Sunny,1016.0,-3.3,12.2,17.8,1,0,0,10.0,8.4,0.013189659222014028,3.0,Advanced,spring,late,northern,subtropical,North_America_South,varied,39.2759212,-119.7948106,5,121,USA_California,Lake,Lake Tahoe
Washoe Lake,2019-05-01 13:00,12.3,6.4,SE,36,6,10.4,0.0,Sunny,1016.0,-2.4,12.0,16.9,1,0,0,10.0,8.4,0.014843487512119205,3.0,Advanced,spring,late,northern,subtropical,North_America_South,varied,39.2759212,-119.7948106,5,121,USA_California,Lake,Lake Tahoe
Washoe Lake,2019-05-01 14:00,13.5,7.0,SSE,38,7,9.3,0.0,Sunny,1015.0,-1.6,13.2,15.7,1,0,0,10.0,9.6,0.016528659409858985,3.0,Advanced,spring,late,northern,subtropical,North_America_South,varied,39.2759212,-119.7948106,5,121,USA_California,Lake,Lake Tahoe
Washoe Lake,2019-05-01 15:00,13.8,7.6,S,41,8,6.7,0.0,Sunny,1015.0,-0.7,13.5,18.5,1,0,0,10.0,9.9,0.018243001481156446,3.5,Intermediate,spring,late,northern,subtropical,North_America_South,varied,39.2759212,-119.7948106,5,121,USA_California,Lake,Lake Tahoe
