lake,datetime,temp_c,wind_kph,wind_dir,humidity,cloud,uv,precip_mm,condition,pressure_mb,dew_point_c,feelslike_c,gust_kph,is_day,will_it_rain,will_it_snow,vis_km,estimated_water_temp_c,estimated_wave_height_m,paddle_score,skill_level,season,season_intensity,hemisphere,climate_zone,region,regional_pattern,latitude,longitude,month,day_of_year,lake_region,lake_type,base_lake_name
West Lake,2020-03-01 00:00,10.6,5.8,ENE,94,100,0.0,0.4,Patchy rain possible,1017.0,9.7,10.2,7.6,0,1,0,9.0,5.6,0.013189659222014028,2.5,Advanced,spring,early,northern,subtropical,South_Asia,monsoon,30.25,120.15,3,61,China,Lake,West Lake
West Lake,2020-03-01 01:00,10.5,5.6,NE,94,100,0.0,0.0,Overcast,1017.0,9.6,10.2,7.3,0,0,0,8.2,5.5,0.012645779795837402,3.0,Advanced,spring,early,northern,subtropical,South_Asia,monsoon,30.25,120.15,3,61,China,Lake,West Lake
West Lake,2020-03-01 02:00,10.5,5.5,NE,94,100,0.0,2.1,Moderate or heavy rain shower,1016.0,9.5,10.1,7.1,0,1,0,7.5,5.5,0.012375285017811188,2.0,Expert Only,spring,early,northern,subtropical,South_Asia,monsoon,30.25,120.15,3,61,China,Lake,West Lake
West Lake,2020-03-01 03:00,10.4,5.4,NE,93,100,0.0,0.1,Patchy rain possible,1016.0,9.4,10.1,6.8,0,1,0,6.7,5.4,0.012105772119533401,2.5,Advanced,spring,early,northern,subtropical,South_Asia,monsoon,30.25,120.15,3,61,China,Lake,West Lake
West Lake,2020-03-01 04:00,10.4,5.6,NE,93,100,0.0,0.1,Patchy rain possible,1017.0,9.3,10.0,11.0,0,1,0,5.9,5.4,0.012645779795837402,2.5,Advanced,spring,early,northern,subtropical,South_Asia,monsoon,30.25,120.15,3,61,China,Lake,West Lake
West Lake,2020-03-01 05:00,10.4,5.9,NE,93,100,0.0,0.0,Overcast,1017.0,9.3,10.0,11.6,0,0,0,5.1,5.4,0.013463017075707875,3.0,Advanced,spring,early,northern,subtropical,South_Asia,monsoon,30.25,120.15,3,61,China,Lake,West Lake
West Lake,2020-03-01 06:00,10.4,6.1,NE,93,100,0.0,0.0,Overcast,1017.0,9.2,9.9,12.4,0,0,0,4.3,5.4,0.014012505132255281,3.0,Advanced,spring,early,northern,subtropical,South_Asia,monsoon,30.25,120.15,3,61,China,Lake,West Lake
West Lake,2020-03-01 07:00,10.6,6.6,NE,91,99,0.0,0.1,Patchy rain possible,1017.0,9.1,10.0,13.4,1,1,0,6.0,5.6,0.015401843469769355,2.5,Advanced,spring,early,northern,subtropical,South_Asia,monsoon,30.25,120.15,3,61,China,Lake,West Lake
West Lake,2020-03-01 08:00,10.7,7.1,NE,90,97,0.0,0.1,Patchy rain possible,1019.0,9.0,10.1,17.5,1,1,0,7.6,5.7,0.016812411108182997,2.5,Advanced,spring,early,northern,subtropical,South_Asia,monsoon,30.25,120.15,3,61,China,Lake,West Lake
West Lake,2020-03-01 09:00,10.9,7.6,NNE,88,96,0.1,0.3,Patchy rain possible,1019.0,8.9,10.2,18.6,1,1,0,9.3,5.9,0.018243001481156446,2.5,Advanced,spring,early,northern,subtropical,South_Asia,monsoon,30.25,120.15,3,61,China,Lake,West Lake
