lake,datetime,temp_c,wind_kph,wind_dir,humidity,cloud,uv,precip_mm,condition,pressure_mb,dew_point_c,feelslike_c,gust_kph,is_day,will_it_rain,will_it_snow,vis_km,estimated_water_temp_c,estimated_wave_height_m,paddle_score,skill_level,season,season_intensity,hemisphere,climate_zone,region,regional_pattern,latitude,longitude,month,day_of_year,lake_region,lake_type,base_lake_name
Windermere,2021-07-01 00:00,10.6,5.0,NNE,85,7,0.0,0.0,Clear,1019.0,7.6,10.4,10.4,0,0,0,10.0,6.2,0.01103783729168972,3.5,Intermediate,summer,mid,northern,temperate,Europe,temperate,54.35,-2.95,7,182,England,Lake,Windermere
Windermere,2021-07-01 01:00,10.2,4.9,NNE,81,15,0.0,0.0,Clear,1019.0,7.2,10.0,10.2,0,0,0,10.0,5.8,0.010773461864285178,3.0,Advanced,summer,mid,northern,temperate,Europe,temperate,54.35,-2.95,7,182,England,Lake,Windermere
Windermere,2021-07-01 02:00,8.7,4.8,NNE,78,24,0.0,0.0,Clear,1019.0,5.1,8.4,10.0,0,0,0,10.0,4.3,0.01051016338819018,2.5,Advanced,summer,mid,northern,temperate,Europe,temperate,54.35,-2.95,7,182,England,Lake,Windermere
Windermere,2021-07-01 03:00,8.6,4.7,NNE,74,32,0.0,0.0,Partly cloudy,1019.0,4.3,8.3,9.7,0,0,0,10.0,4.2,0.010247959777811521,2.5,Advanced,summer,mid,northern,temperate,Europe,temperate,54.35,-2.95,7,182,England,Lake,Windermere
Windermere,2021-07-01 04:00,9.3,4.7,NNE,73,40,0.0,0.0,Partly cloudy,1019.0,4.8,9.0,9.1,0,0,0,10.0,4.9,0.010247959777811521,2.5,Advanced,summer,mid,northern,temperate,Europe,temperate,54.35,-2.95,7,182,England,Lake,Windermere
Windermere,2021-07-01 05:00,9.9,4.7,NNE,73,47,0.0,0.0,Partly cloudy,1019.0,5.2,9.8,8.5,1,0,0,10.0,5.5,0.010247959777811521,2.5,Advanced,summer,mid,northern,temperate,Europe,temperate,54.35,-2.95,7,182,England,Lake,Windermere
Windermere,2021-07-01 06:00,10.6,4.7,NNE,72,54,0.0,0.0,Partly cloudy,1019.0,5.7,10.5,7.9,1,0,0,10.0,6.2,0.010247959777811521,2.5,Advanced,summer,mid,northern,temperate,Europe,temperate,54.35,-2.95,7,182,England,Lake,Windermere
Windermere,2021-07-01 07:00,11.3,4.3,NNE,68,53,0.0,0.0,Partly cloudy,1018.0,5.5,11.4,6.8,1,0,0,10.0,6.9,0.009210477147626728,2.5,Advanced,summer,mid,northern,temperate,Europe,temperate,54.35,-2.95,7,182,England,Lake,Windermere
Windermere,2021-07-01 08:00,12.0,4.0,NNE,64,53,0.3,0.0,Partly cloudy,1018.0,5.3,12.3,5.8,1,0,0,10.0,7.6,0.008444850628946524,3.0,Advanced,summer,mid,northern,temperate,Europe,temperate,54.35,-2.95,7,182,England,Lake,Windermere
Windermere,2021-07-01 09:00,12.7,3.6,NNE,60,53,1.2,0.0,Partly cloudy,1018.0,5.1,13.2,9.0,1,0,0,10.0,8.3,0.007441885497344448,3.0,Advanced,summer,mid,northern,temperate,Europe,temperate,54.35,-2.95,7,182,England,Lake,Windermere
Windermere,2021-07-01 10:00,13.5,3.1,NE,58,53,2.6,0.0,Partly cloudy,1018.0,5.2,14.3,9.4,1,0,0,10.0,9.1,0.006219479135896134,3.0,Advanced,summer,mid,northern,temperate,Europe,temperate,54.35,-2.95,7,182,England,Lake,Windermere
Windermere,2021-07-01 11:00,14.2,2.6,NE,55,53,4.3,0.0,Partly cloudy,1018.0,5.4,14.2,8.6,1,0,0,10.0,9.8,0.005036026424447594,3.0,Advanced,summer,mid,northern,temperate,Europe,temperate,54.35,-2.95,7,182,England,Lake,Windermere
