lake,datetime,temp_c,wind_kph,wind_dir,humidity,cloud,uv,precip_mm,condition,pressure_mb,dew_point_c,feelslike_c,gust_kph,is_day,will_it_rain,will_it_snow,vis_km,estimated_water_temp_c,estimated_wave_height_m,paddle_score,skill_level,season,season_intensity,hemisphere,climate_zone,region,regional_pattern,latitude,longitude,month,day_of_year,lake_region,lake_type,base_lake_name
Yellowstone Lake,2020-09-01 00:00,1.7,9.7,NNW,94,79,0.0,0.0,Cloudy,1017.0,0.3,-1.2,22.2,0,0,0,7.0,-2.7,0.02444815350636487,2.0,Expert Only,autumn,early,northern,temperate,North_America_South,varied,44.4,-110.3,9,245,USA_Wyoming,Lake,Yellowstone Lake
Yellowstone Lake,2020-09-01 01:00,1.6,10.6,WNW,94,67,0.0,0.0,Cloudy,1017.0,0.4,-1.6,24.5,0,0,0,5.3,-2.8,0.027194872121590392,2.0,Expert Only,autumn,early,northern,temperate,North_America_South,varied,44.4,-110.3,9,245,USA_Wyoming,Lake,Yellowstone Lake
Yellowstone Lake,2020-09-01 02:00,1.6,7.8,WSW,95,56,0.0,0.0,Partly cloudy,1017.0,0.5,-0.9,25.7,0,0,0,3.7,-2.8,0.018820601788967026,2.0,Expert Only,autumn,early,northern,temperate,North_America_South,varied,44.4,-110.3,9,245,USA_Wyoming,Lake,Yellowstone Lake
Yellowstone Lake,2020-09-01 03:00,1.6,8.2,SSW,95,44,0.0,0.0,Partly cloudy,1018.0,0.7,-0.9,25.6,0,0,0,2.0,-2.8,0.01998465270781844,2.0,Expert Only,autumn,early,northern,temperate,North_America_South,varied,44.4,-110.3,9,245,USA_Wyoming,Lake,Yellowstone Lake
Yellowstone Lake,2020-09-01 04:00,1.3,8.3,SSW,95,46,0.0,0.0,Partly cloudy,1018.0,0.6,-1.3,24.6,0,0,0,2.0,-3.1,0.0202774665430942,2.0,Expert Only,autumn,early,northern,temperate,North_America_South,varied,44.4,-110.3,9,245,USA_Wyoming,Lake,Yellowstone Lake
Yellowstone Lake,2020-09-01 05:00,1.1,5.0,SSW,95,48,0.0,0.0,Partly cloudy,1019.0,0.4,-0.3,23.4,0,0,0,2.0,-3.3,0.01103783729168972,2.0,Expert Only,autumn,early,northern,temperate,North_America_South,varied,44.4,-110.3,9,245,USA_Wyoming,Lake,Yellowstone Lake
Yellowstone Lake,2020-09-01 06:00,1.0,5.4,SSW,95,49,0.0,0.0,Partly cloudy,1019.0,0.3,-0.6,23.4,0,0,0,2.0,-3.4,0.012105772119533401,2.0,Expert Only,autumn,early,northern,temperate,North_America_South,varied,44.4,-110.3,9,245,USA_Wyoming,Lake,Yellowstone Lake
Yellowstone Lake,2020-09-01 07:00,1.5,6.2,SSW,90,40,0.0,0.0,Partly cloudy,1019.0,-0.0,-0.4,21.7,1,0,0,4.7,-2.9,0.01428861090468454,2.0,Expert Only,autumn,early,northern,temperate,North_America_South,varied,44.4,-110.3,9,245,USA_Wyoming,Lake,Yellowstone Lake
Yellowstone Lake,2020-09-01 08:00,3.3,7.1,SSW,84,32,0.0,0.0,Partly cloudy,1019.0,0.9,1.5,19.8,1,0,0,7.3,-1.1,0.016812411108182997,2.0,Expert Only,autumn,early,northern,temperate,North_America_South,varied,44.4,-110.3,9,245,USA_Wyoming,Lake,Yellowstone Lake
Yellowstone Lake,2020-09-01 09:00,6.6,7.9,SW,79,23,0.4,0.0,Sunny,1018.0,1.5,5.0,21.1,1,0,0,10.0,2.2,0.019110519461981165,2.0,Expert Only,autumn,early,northern,temperate,North_America_South,varied,44.4,-110.3,9,245,USA_Wyoming,Lake,Yellowstone Lake
